id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
3074718,5007,1,7090,68,baby doll at home,4,baby doll at home,n n prep n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,4,eng
3074736,5007,2,7090,68,oh that's for us to look at,7,oh that for us to look at,co pro:dem prep pro:obj inf v prep,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,8,eng
3074771,5007,3,7090,68,Rachel left it for us to look at,8,Rachel leave it for us to look at,n:prop v pro:per prep pro:obj inf v prep,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,9,eng
3074796,5007,4,7090,68,apple,1,apple,n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
3074805,5007,5,7090,68,did you eat an apple today,6,do you eat a apple today,v pro:per v det:art n adv:tem,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,7,eng
3074831,5007,6,7090,68,mhm,1,yes,co,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
3074844,5007,7,7090,68,last time,2,last time,adj n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
3074863,5007,9,7090,68,an apple,2,a apple,det:art n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
3074894,5007,11,7090,68,that looks like daddy's car doesn't it,7,that look like daddy car do it,pro:dem cop co n n mod pro:per,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,11,eng
3074924,5007,12,7090,68,yeah,1,yeah,co,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
3074937,5007,13,7090,68,it is,2,it be,pro:per cop,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,3,eng
3074958,5007,15,7090,68,what are these,3,what be these,pro:int aux pro:dem,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,4,eng
3074982,5007,17,7090,68,apple,1,apple,n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
3074989,5007,18,7090,68,what are these,3,what be these,pro:int aux pro:dem,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,4,eng
3075009,5007,19,7090,68,are these just here,4,be these just here,cop pro:dem adv adv,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,5,eng
3075040,5007,21,7090,68,shoes,1,shoe,n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
3075055,5007,22,7090,68,are these shoes,3,be these shoe,cop pro:dem n,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,5,eng
3075071,5007,23,7090,68,do you wanna look further,5,do you wanna look further,mod pro:per mod:aux v adv,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,5,eng
3075111,5007,25,7090,68,daddy's car that's right,4,daddy car that right,n n pro:rel n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,6,eng
3075146,5007,27,7090,68,volleyball,1,,,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,NA,eng
3075160,5007,28,7090,68,uh that's a soccer ball,5,that a soccer ball,pro:dem det:art n n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,5,eng
3075182,5007,29,7090,68,it looks more like a volleyball,6,it look more like a,pro:per v adv prep det:art,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,6,eng
3075225,5007,32,7090,68,is this a dandelion,4,be this a dandelion,cop pro:dem det:art n,MOT,NA,Mother,5006,610.75,Julia,female,question,NA,NA,NA,3,Eng-NA,5,eng
3075252,5007,33,7090,68,it's a flower,3,it a flower,pro:per det:art n,MOT,NA,Mother,5006,610.75,Julia,female,declarative,NA,NA,NA,3,Eng-NA,4,eng
