id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
1254270,3142,2,3815,41,whatcha doing munch,3,what be you do munch,pro:int aux pro:per part v,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,7,eng
1254300,3142,4,3815,41,whatcha doing,2,what be you do,pro:int aux pro:per part,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,6,eng
1254342,3142,7,3815,41,play this together,3,play this together,v pro:dem adv,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,3,eng
1254370,3142,9,3815,41,okay,1,okay,co,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,1,eng
1254430,3142,14,3815,41,gonna land on the water,5,gonna land on the water,mod:aux v prep det:art n,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,5,eng
1254465,3142,16,3815,41,like the ones out there,5,like the one out there,prep det:art det:num adv adv,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,6,eng
1254498,3142,18,3815,41,oh here comes one right now,6,oh here come one right now,co adv v pro:indef adv adv,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,7,eng
1254530,3142,19,3815,41,oh,1,oh,co,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,1,eng
1254541,3142,20,3815,41,here he comes,3,here he come,adv pro:sub v,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,4,eng
1254553,3142,21,3815,41,what's he doing,3,what he do,pro:int pro:sub part,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,5,eng
1254607,3142,24,3815,41,baby airplane,2,baby airplane,n n,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,2,eng
1254625,3142,26,3815,41,look he's turning around,4,look he turn around,co pro:sub part adv,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,6,eng
1254649,3142,28,3815,41,what do you think he's gonna do,7,what do you think he gonna do,pro:int mod pro:per v pro:sub mod:aux v,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,8,eng
1254689,3142,30,3815,41,he's gone,2,he go,pro:sub part,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,4,eng
1254716,3142,32,3815,41,where'd he go to,4,where he go to,adv:int pro:sub v prep,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,5,eng
1254728,3142,33,3815,41,oo he's coming back,4,oo he come back,co pro:sub part adv,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,6,eng
1254771,3142,35,3815,41,that's another one,3,that another one,pro:dem qn pro:indef,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,4,eng
1254818,3142,38,3815,41,that's another one coming back,5,that another one come back,pro:dem qn pro:indef part adv,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,7,eng
1254915,3142,42,3815,41,under the trees,3,under the tree,prep det:art n,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,4,eng
1254935,3142,44,3815,41,it's all_gone,2,it all_gone,pro:per adj,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,3,eng
1254996,3142,48,3815,41,what Munchie,2,what Munchie,pro:int n:prop,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,2,eng
1255021,3142,50,3815,41,look at that,3,look at that,v prep pro:dem,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,3,eng
1255042,3142,51,3815,41,here bring it over here,5,here bring it over here,adv v pro:per adv adv,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,5,eng
1255059,3142,52,3815,41,let's see,2,let see,v v,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,3,eng
1255070,3142,53,3815,41,it fell out,3,it fall out,pro:per v adv,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,4,eng
1255093,3142,55,3815,41,gwurk,1,gwurk,on,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,1,eng
1255161,3142,61,3815,41,what's that,2,what that,pro:int pro:dem,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,3,eng
1255180,3142,63,3815,41,that's a monkey,3,that a monkey,pro:dem det:art n,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,4,eng
1255214,3142,65,3815,41,sure it's a monkey,4,sure it a monkey,co pro:per det:art n,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,5,eng
1255232,3142,66,3815,41,just like at the zoo,5,just like at the zoo,adv co prep det:art n,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,5,eng
1255256,3142,68,3815,41,just like at the ape house,6,just like at the ape house,adv co prep det:art n n,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,6,eng
1255276,3142,69,3815,41,remember the um,3,remember the,v det:art,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,2,eng
1255291,3142,70,3815,41,what is it,3,what be it,pro:int aux pro:per,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,4,eng
1255306,3142,71,3815,41,just like a gorilla,4,just like a gorilla,adv prep det:art n,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,4,eng
1255353,3142,73,3815,41,yeah,1,yeah,co,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,1,eng
1255379,3142,75,3815,41,want to go to the zoo tomorrow night,8,want to go to the zoo tomorrow night,v inf v prep det:art n adv:tem n,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,8,eng
1255411,3142,77,3815,41,okay,1,okay,co,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,1,eng
1255444,3142,79,3815,41,okay,1,okay,co,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,1,eng
1255470,3142,82,3815,41,okay,1,okay,co,FAT,NA,Father,3141,757.5,Trevor,male,declarative,NA,NA,NA,3,Eng-NA,1,eng
1255573,3142,88,3815,41,what are you going to do with it now,9,what be you go to do with it now,pro:int aux pro:per part inf v prep pro:per adv,FAT,NA,Father,3141,757.5,Trevor,male,question,NA,NA,NA,3,Eng-NA,11,eng
