id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
3478222,5256,1,8685,79,this is your cookie okay,5,this be your cookie okay,pro:dem cop det:poss n adj,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,6,eng
3478275,5256,3,8685,79,yes,1,yes,co,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3478287,5256,4,8685,79,but you can't have it right now okay,8,but you can have it right now okay,conj pro:per mod v pro:per adv adv adj,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,9,eng
3478330,5256,6,8685,79,you wait for a little bit okay,7,you wait for a little bit okay,pro:per v prep det:art adj n adj,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,7,eng
3478413,5256,9,8685,79,you can't have it right now,6,you can have it right now,pro:per mod v pro:per adv adv,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,7,eng
3478466,5256,11,8685,79,that's you know what that is,6,you know what that be,pro:per v pro:int pro:dem cop,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,6,eng
3478487,5256,12,8685,79,what is it,3,what be it,pro:int aux pro:per,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,4,eng
3478518,5256,14,8685,79,right,1,right,co,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3478526,5256,15,8685,79,but we'll have it in a little while,8,but we have it in a little while,conj pro:sub aux pro:per prep det:art adj n,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,9,eng
3478561,5256,16,8685,79,not right now,3,not right now,neg adv adv,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
3478642,5256,20,8685,79,not now,2,not now,neg adv,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
3478785,5256,30,8685,79,I don't know,3,I do know,pro:sub mod v,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
3478954,5256,38,8685,79,okay,1,okay,co,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3479009,5256,42,8685,79,hm,1,hm,co,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
3479050,5256,45,8685,79,I told you,3,I tell you,pro:sub v pro:per,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
3479077,5256,47,8685,79,yes,1,yes,co,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3479091,5256,48,8685,79,now we'll just leave it right there okay,8,now we just leave it right there okay,adv pro:sub adj v pro:per adv adv co,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,9,eng
3479167,5256,51,8685,79,www,1,,,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
3479174,5256,52,8685,79,off the table,3,off the table,prep det:art n,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
3479211,5256,53,8685,79,do you want your cookie,5,do you want your cookie,mod pro:per v det:poss n,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,5,eng
3479256,5256,55,8685,79,okay how do we eat the cookie,7,okay how do we eat the cookie,co adv:int mod pro:sub v det:art n,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,7,eng
3479285,5256,56,8685,79,you have_to get off the table,6,you have_to get off the table,pro:per mod:aux v prep det:art n,MOT,NA,Mother,5255,913.125,NA,NA,declarative,NA,NA,NA,3,Eng-NA,6,eng
3479314,5256,57,8685,79,let's have a snack first okay,6,let have a snack first okay,v v det:art n adv adj,MOT,NA,Mother,5255,913.125,NA,NA,question,NA,NA,NA,3,Eng-NA,7,eng
