id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
1062241,3065,2,3542,37,mhm,1,yes,co,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,2.847,0.96,s,3,Eng-NA,1,eng
1062246,3065,3,3542,37,she playing peekaboo,3,she play peekaboo,pro:sub part co,MOT,NA,Mother,3064,852.25,Rachel,female,question,6.92,4.847,s,3,Eng-NA,4,eng
1062264,3065,5,3542,37,what else do you see,5,what else do you see,pro:int post v pro:per v,MOT,NA,Mother,3064,852.25,Rachel,female,question,13.2,11.334,s,3,Eng-NA,5,eng
1062336,3065,8,3542,37,yep she's taking a nap,5,yep she take a nap,co pro:sub part det:art n,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,18.35,16.708,s,3,Eng-NA,7,eng
1062352,3065,9,3542,37,now what's he doing,4,now what he do,adv pro:int pro:sub part,MOT,NA,Mother,3064,852.25,Rachel,female,question,25.608,24.35,s,3,Eng-NA,6,eng
1062374,3065,10,3542,37,what do you see on this page,7,what do you see on this page,pro:int mod pro:per v prep pro:dem n,MOT,NA,Mother,3064,852.25,Rachel,female,question,30.492,28.608,s,3,Eng-NA,7,eng
1062415,3065,12,3542,37,yeah he's eating isn't he,5,yeah he eat be he,co pro:sub part cop pro:sub,MOT,NA,Mother,3064,852.25,Rachel,female,question,37.631,35.8,s,3,Eng-NA,9,eng
1062438,3065,13,3542,37,what's going on now,4,what go on now,pro:int part adv adv,MOT,NA,Mother,3064,852.25,Rachel,female,question,52,50.031,s,3,Eng-NA,6,eng
1062470,3065,15,3542,37,no you're right he shouldn't be taking the money should he,11,no you right he should be take the money should he,co pro:per adj pro:sub mod aux part det:art n mod pro:sub,MOT,NA,Mother,3064,852.25,Rachel,female,question,56.012,53.05,s,3,Eng-NA,14,eng
1062522,3065,17,3542,37,bad guy,2,bad guy,adj n,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,58.012,57,s,3,Eng-NA,2,eng
1062537,3065,18,3542,37,she brushing his hair,4,she brush his hair,pro:sub part det:poss n,MOT,NA,Mother,3064,852.25,Rachel,female,question,71.206,69.012,s,3,Eng-NA,5,eng
1062560,3065,19,3542,37,she brushing his fur,4,she brush his fur,pro:sub part det:poss n,MOT,NA,Mother,3064,852.25,Rachel,female,question,73.016,71.206,s,3,Eng-NA,5,eng
1062582,3065,20,3542,37,huh you like to do that,6,huh you like to do that,co pro:per v inf v pro:dem,MOT,NA,Mother,3064,852.25,Rachel,female,trail off,76.139,74.016,s,3,Eng-NA,6,eng
1062609,3065,22,3542,37,yes,1,yes,co,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,78.424,77.417,s,3,Eng-NA,1,eng
1062631,3065,24,3542,37,dogs lots_of dogs,3,dog lots_of dog,n qn n,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,86.283,84.3,s,3,Eng-NA,5,eng
1062655,3065,26,3542,37,that's right that one's Clifford huh,6,that right that one Clifford huh,pro:dem adj det:dem pro:indef n:prop co,MOT,NA,Mother,3064,852.25,Rachel,female,question,92.469,89.721,s,3,Eng-NA,8,eng
1062679,3065,27,3542,37,ready to read now,4,ready to read now,adj inf v adv,MOT,NA,Mother,3064,852.25,Rachel,female,question,NA,NA,NA,3,Eng-NA,5,eng
1062707,3065,29,3542,37,okay,1,okay,co,MOT,NA,Mother,3064,852.25,Rachel,female,trail off,95.469,92.469,s,3,Eng-NA,1,eng
1062724,3065,31,3542,37,I'm Emily Elizabeth,3,I Emily Elizabeth,pro:sub n:prop n:prop,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,98.6,96.988,s,3,Eng-NA,4,eng
1062754,3065,33,3542,37,those are socks,3,those be sock,pro:dem cop n,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,100.439,99.569,s,3,Eng-NA,5,eng
1062770,3065,34,3542,37,and I have a dog,5,and I have a dog,coord pro:sub v det:art n,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,102.162,100.439,s,3,Eng-NA,5,eng
1062796,3065,36,3542,37,that's a leash,3,that a leash,pro:dem det:art n,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,105.426,104.3,s,3,Eng-NA,4,eng
1062815,3065,37,3542,37,my dog is a big red dog,7,my dog be a big red dog,det:poss n cop det:art adj adj n,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,NA,NA,NA,3,Eng-NA,8,eng
1062844,3065,38,3542,37,some dog kids I know have dogs too,8,some dog kid I know have dog too,qn n n pro:sub v v n adv,MOT,NA,Mother,3064,852.25,Rachel,female,declarative,109.7,105.426,s,3,Eng-NA,10,eng
